일련번호,시작역번호,끝역번호,소요시간,거리,역이름,,,,,,,,,71.5km
1,455,456,2,0.9,오이도,,,,,,,,,
2,454,455,2,1.3,정왕,,,,,,,,,
3,453,454,2,1,신길온천,,,,,,,,,
4,452,453,2,0.8,안산,,,,,,,,,
5,451,452,2,0.7,초지,,,,,,,,,
6,450,451,1,0.8,고잔,,,,,,,,,
7,449,450,2,0.8,중앙,,,,,,,,,
8,448,449,1,1.5,한대앞,,,,,,,,,
9,447,448,3,1.2,상록수,,,,,,,,,
10,446,447,2,0.8,반월,,,,,,,,,
11,445,446,3,1,대야미,,,,,,,,,
12,444,445,2,0.7,수리산,,,,,,,,,
13,443,444,4,0.8,산본,,,,,,,,,
14,442,443,3,1,금정,,,,,,,,,
15,441,442,2,1.3,범계,,,,,,,,,
16,440,441,2,1,평촌,,,,,,,,,
17,439,440,3,0.9,인덕원,,,,,,,,,
18,438,439,2,1,정부과천청사,,,,,,,,,
19,437,438,2,0.8,과천,,,,,,,,,
20,436,437,2,1.2,대공원,,,,,,,,,
21,435,436,1,1,경마공원,,,,,,,,,
22,434,435,3,,선바위,,,,,,,,,
23,433,434,2,,남태령,,,,,,,,,
24,432,433,1,,사당,,,,,,,,,
25,431,432,3,,총신대입구,,,,,,,,,
26,430,431,3,,동작,,,,,,,,,
27,429,430,4,,이촌,,,,,,,,,
28,428,429,2,,삼각지,,,,,,,,,
29,427,428,1,,숙대입구,,,,,,,,,
30,426,427,2,,서울역,,,,,,,,,
31,425,426,1,,회현,,,,,,,,,
32,424,425,3,,명동,,,,,,,,,
33,423,424,2,,충무로,,,,,,,,,
34,422,423,1,,동대문역사문화공원,,,,,,,,,
35,421,422,2,,동대문,,,,,,,,,
36,420,421,2,,혜화,,,,,,,,,
37,419,420,1,,한성대입구,,,,,,,,,
38,418,419,2,,성신여대입구,,,,,,,,,
39,417,418,2,,길음,,,,,,,,,
40,416,417,2,,미아사거리,,,,,,,,,
41,415,416,2,,미아,,,,,,,,,
42,414,415,2,,수유(강북구청),,,,,,,,,
43,413,414,2,,쌍문,,,,,,,,,
44,412,413,2,,창동,,,,,,,,,
45,411,412,1,,노원,,,,,,,,,
46,410,411,2,,상계,,,,,,,,,
47,409,410,0,,당고개,,,,,,,,,
