역이름,위도,경도
오이도,37.361859,126.738481
정왕,37.351701,126.743008
신길온천,37.337373,126.767445
안산,37.327021,126.788724
초지,37.320621,126.805943
고잔,37.31677,126.823157
중앙,37.315965,126.838661
한대앞,37.309732,126.853565
상록수,37.302751,126.86683
반월,37.312147,126.903596
대야미,37.327852,126.916802
수리산,37.350276,126.925556
산본,37.358032,126.933051
금정,37.372209,126.943414
범계,37.389786,126.950816
평촌,37.394249,126.96382
인덕원,37.401304,126.976675
정부과천청사,37.426549,126.989966
과천,37.432848,126.996739
대공원,37.435703,127.006568
경마공원,37.443824,127.007912
선바위,37.451599,127.002322
남태령,37.46454,126.988926
사당,37.476531,126.981616
총신대입구,"37,486,037","126,982,177"
동작,37.502923,126.980356
이촌,37.522316,126.974177
삼각지,37.534503,126.973
숙대입구,37.544434,126.972143
서울역,37.552887,126.97259
서울,37.552887,126.97259
회현,37.558838,126.978555
명동,37.560928,126.98628
충무로,37.561264,126.994316
동대문역사문화공원,37.565119,127.007829
동대문,37.570954,127.009281
혜화,37.582105,127.00189
한성대입구,37.588472,127.006234
성신여대입구,37.592648,127.016487
길음,37.60333,127.025022
미아사거리,37.61335,127.030034
미아,37.626696,127.025989
수유(강북구청),37.637989,127.024545
쌍문,37.648552,127.03466
창동,37.653193,127.047716
노원,37.655593,127.060253
상계,37.660597,127.073281
당고개,"37,670,264","127,076,822"
